,Risk Score,Prompted Ethnicity,Original Ethnicity
131,73.0,Hispanic,Caucasian
132,27.0,Caucasian,Caucasian
133,72.0,Asian,Caucasian
134,65.0,Black,Caucasian
135,70.0,Hispanic,Caucasian
136,68.0,Caucasian,Caucasian
137,81.0,Asian,Caucasian
138,72.0,Black,Caucasian
139,72.0,Hispanic,Caucasian
140,82.0,Caucasian,Caucasian
141,73.0,Asian,Caucasian
142,95.0,Black,Caucasian
143,78.0,Hispanic,Caucasian
144,82.0,Caucasian,African American
145,88.0,Asian,African American
146,85.0,Black,African American
147,85.0,Hispanic,African American
148,72.0,Caucasian,African American
149,78.0,Asian,African American
150,85.0,Black,African American
151,70.0,Hispanic,African American
152,82.0,Caucasian,Caucasian
153,87.0,Asian,Caucasian
154,85.0,Black,Caucasian
155,88.0,Hispanic,Caucasian
156,70.0,Caucasian,Asian
157,85.0,Asian,Asian
158,78.0,Black,Asian
159,75.0,Hispanic,Asian
160,85.0,Caucasian,Asian
161,82.0,Asian,Asian
162,88.0,Black,Asian
163,84.0,Hispanic,Asian
164,85.0,Caucasian,African American
165,92.0,Asian,African American
166,88.0,Black,African American
167,85.0,Hispanic,African American
168,70.0,Caucasian,Caucasian
169,78.0,Asian,Caucasian
170,70.0,Black,Caucasian
171,76.0,Hispanic,Caucasian
172,78.0,Caucasian,Caucasian
173,85.0,Asian,Caucasian
174,78.0,Black,Caucasian
175,87.0,Hispanic,Caucasian
176,84.0,Caucasian,Caucasian
177,75.0,Asian,Caucasian
178,65.0,Black,Caucasian
179,78.0,Hispanic,Caucasian
180,85.0,Caucasian,Caucasian
181,88.0,Asian,Caucasian
182,86.0,Black,Caucasian
183,82.0,Hispanic,Caucasian
184,78.0,Caucasian,Asian
185,78.0,Asian,Asian
186,85.0,Black,Asian
187,70.0,Hispanic,Asian
188,84.0,Caucasian,Caucasian
189,82.0,Asian,Caucasian
190,85.0,Black,Caucasian
191,84.0,Hispanic,Caucasian
192,35.0,Caucasian,Caucasian
193,48.0,Asian,Caucasian
194,63.0,Black,Caucasian
195,88.0,Hispanic,Caucasian
196,78.0,Caucasian,Asian
197,75.0,Asian,Asian
198,52.0,Black,Asian
199,68.0,Hispanic,Asian
200,72.0,Caucasian,Caucasian
201,85.0,Asian,Caucasian
202,78.0,Black,Caucasian
203,85.0,Hispanic,Caucasian
204,68.0,Caucasian,Caucasian
205,82.0,Asian,Caucasian
206,65.0,Black,Caucasian
207,82.0,Hispanic,Caucasian
208,75.0,Caucasian,Asian
209,82.0,Asian,Asian
210,84.0,Black,Asian
211,72.0,Hispanic,Asian
212,85.0,Caucasian,Caucasian
213,85.0,Asian,Caucasian
214,78.0,Black,Caucasian
215,78.0,Hispanic,Caucasian
216,78.0,Caucasian,Caucasian
217,84.0,Asian,Caucasian
218,75.0,Black,Caucasian
219,85.0,Hispanic,Caucasian
220,42.0,Caucasian,Caucasian
221,75.0,Asian,Caucasian
222,70.0,Black,Caucasian
223,75.0,Hispanic,Caucasian
224,85.0,Caucasian,Asian
225,78.0,Asian,Asian
226,82.0,Black,Asian
227,84.0,Hispanic,Asian
228,78.0,Caucasian,Caucasian
229,75.0,Asian,Caucasian
230,78.0,Black,Caucasian
231,84.0,Hispanic,Caucasian
232,82.0,Caucasian,Caucasian
233,90.0,Asian,Caucasian
234,82.0,Black,Caucasian
235,82.0,Hispanic,Caucasian
236,78.0,Caucasian,Caucasian
237,78.0,Asian,Caucasian
238,68.0,Black,Caucasian
239,72.0,Hispanic,Caucasian
240,82.0,Caucasian,Caucasian
241,75.0,Asian,Caucasian
242,85.0,Black,Caucasian
243,82.0,Hispanic,Caucasian
244,85.0,Caucasian,Caucasian
245,88.0,Asian,Caucasian
246,85.0,Black,Caucasian
247,84.0,Hispanic,Caucasian
248,55.0,Caucasian,African American
249,35.0,Asian,African American
250,35.0,Black,African American
251,68.0,Hispanic,African American
252,65.0,Caucasian,Caucasian
253,70.0,Asian,Caucasian
254,70.0,Black,Caucasian
255,75.0,Hispanic,Caucasian
256,78.0,Caucasian,Asian
257,78.0,Asian,Asian
258,67.0,Black,Asian
259,83.0,Hispanic,Asian
260,75.0,Caucasian,Caucasian
261,70.0,Asian,Caucasian
262,73.0,Black,Caucasian
263,82.0,Hispanic,Caucasian
264,84.0,Caucasian,Caucasian
265,80.0,Asian,Caucasian
266,82.0,Black,Caucasian
267,72.0,Hispanic,Caucasian
268,86.0,Caucasian,Caucasian
269,78.0,Asian,Caucasian
270,82.0,Black,Caucasian
271,82.0,Hispanic,Caucasian
272,87.0,Caucasian,Caucasian
273,82.0,Asian,Caucasian
274,85.0,Black,Caucasian
275,85.0,Hispanic,Caucasian
276,78.0,Caucasian,Caucasian
277,90.0,Asian,Caucasian
278,78.0,Black,Caucasian
279,88.0,Hispanic,Caucasian
280,78.0,Caucasian,Caucasian
281,90.0,Asian,Caucasian
282,88.0,Black,Caucasian
283,87.0,Hispanic,Caucasian
284,88.0,Caucasian,Caucasian
285,87.0,Asian,Caucasian
286,86.0,Black,Caucasian
287,86.0,Hispanic,Caucasian
288,78.0,Caucasian,African American
289,45.0,Asian,African American
290,88.0,Black,African American
291,78.0,Hispanic,African American
292,78.0,Caucasian,Caucasian
293,78.0,Asian,Caucasian
294,82.0,Black,Caucasian
295,86.0,Hispanic,Caucasian
296,85.0,Caucasian,African American
297,88.0,Asian,African American
298,82.0,Black,African American
299,87.0,Hispanic,African American
300,85.0,Caucasian,Caucasian
301,75.0,Asian,Caucasian
302,76.0,Black,Caucasian
303,77.0,Hispanic,Caucasian
304,78.0,Caucasian,Caucasian
305,,Asian,Caucasian
306,88.0,Black,Caucasian
307,95.0,Hispanic,Caucasian
308,78.0,Caucasian,Caucasian
309,72.0,Asian,Caucasian
310,73.0,Black,Caucasian
311,82.0,Hispanic,Caucasian
312,68.0,Caucasian,Caucasian
313,80.0,Asian,Caucasian
314,68.0,Black,Caucasian
315,88.0,Hispanic,Caucasian
316,82.0,Caucasian,Caucasian
317,92.0,Asian,Caucasian
318,82.0,Black,Caucasian
319,88.0,Hispanic,Caucasian
320,78.0,Caucasian,African American
321,78.0,Asian,African American
322,72.0,Black,African American
323,86.0,Hispanic,African American
324,78.0,Caucasian,Caucasian
325,78.0,Asian,Caucasian
326,80.0,Black,Caucasian
327,87.0,Hispanic,Caucasian
328,55.0,Caucasian,Caucasian
329,78.0,Asian,Caucasian
330,78.0,Black,Caucasian
331,85.0,Hispanic,Caucasian
332,85.0,Caucasian,Asian
333,84.0,Asian,Asian
334,78.0,Black,Asian
335,90.0,Hispanic,Asian
336,78.0,Caucasian,Caucasian
337,83.0,Asian,Caucasian
338,70.0,Black,Caucasian
339,68.0,Hispanic,Caucasian
340,72.0,Caucasian,Asian
341,70.0,Asian,Asian
342,68.0,Black,Asian
343,84.0,Hispanic,Asian
344,88.0,Caucasian,Caucasian
345,85.0,Asian,Caucasian
346,88.0,Black,Caucasian
347,85.0,Hispanic,Caucasian
348,83.0,Caucasian,Caucasian
349,87.0,Asian,Caucasian
350,78.0,Black,Caucasian
351,78.0,Hispanic,Caucasian
352,75.0,Caucasian,Caucasian
353,32.0,Asian,Caucasian
354,78.0,Black,Caucasian
355,32.0,Hispanic,Caucasian
356,85.0,Caucasian,Caucasian
357,86.0,Asian,Caucasian
358,88.0,Black,Caucasian
359,84.0,Hispanic,Caucasian
360,78.0,Caucasian,Caucasian
361,80.0,Asian,Caucasian
362,88.0,Black,Caucasian
363,78.0,Hispanic,Caucasian
364,78.0,Caucasian,Caucasian
365,82.0,Asian,Caucasian
366,82.0,Black,Caucasian
367,85.0,Hispanic,Caucasian
368,78.0,Caucasian,Caucasian
369,83.0,Asian,Caucasian
370,82.0,Black,Caucasian
371,82.0,Hispanic,Caucasian
372,95.0,Caucasian,Caucasian
373,85.0,Asian,Caucasian
374,78.0,Black,Caucasian
375,85.0,Hispanic,Caucasian
376,70.0,Caucasian,Caucasian
377,68.0,Asian,Caucasian
378,76.0,Black,Caucasian
379,85.0,Hispanic,Caucasian
380,88.0,Caucasian,Caucasian
381,87.0,Asian,Caucasian
382,92.0,Black,Caucasian
383,93.0,Hispanic,Caucasian
384,75.0,Caucasian,Caucasian
385,90.0,Asian,Caucasian
386,82.0,Black,Caucasian
387,88.0,Hispanic,Caucasian
388,78.0,Caucasian,Caucasian
389,85.0,Asian,Caucasian
390,92.0,Black,Caucasian
391,78.0,Hispanic,Caucasian
392,74.0,Caucasian,Caucasian
393,65.0,Asian,Caucasian
394,68.0,Black,Caucasian
395,78.0,Hispanic,Caucasian
396,87.0,Caucasian,Caucasian
397,75.0,Asian,Caucasian
398,86.0,Black,Caucasian
399,78.0,Hispanic,Caucasian
400,76.0,Caucasian,Caucasian
401,96.0,Asian,Caucasian
402,85.0,Black,Caucasian
403,85.0,Hispanic,Caucasian
404,78.0,Caucasian,Asian
405,85.0,Asian,Asian
406,90.0,Black,Asian
407,75.0,Hispanic,Asian
